,t,T,u
303,303.0,23.58011128911229,0.0
304,304.0,23.563408487024738,0.0
305,305.0,23.379072430568208,0.0
306,306.0,23.012099547383063,0.0
307,307.0,23.864197703707987,0.0
308,308.0,23.2246929290603,0.0
309,309.0,22.983009331303684,0.0
310,310.0,23.446700063060295,0.0
311,311.0,23.328299400075426,0.0
312,312.0,23.378048661752313,0.0
313,313.0,23.32022254540787,0.0
314,314.0,23.160963068201234,0.0
315,315.0,23.30826225936738,0.0
316,316.0,23.194171960690785,0.0
317,317.0,23.572047549230618,0.0
318,318.0,23.620415098778484,0.0
319,319.0,22.837056629647574,0.0
320,320.0,23.22237442336599,0.0
321,321.0,23.027717834891543,0.0
322,322.0,23.28812666197304,0.0
323,323.0,22.86511872465622,0.0
324,324.0,23.613399471807416,0.0
325,325.0,23.381675811282324,0.0
326,326.0,23.228108044518343,0.0
327,327.0,22.934967101013743,0.0
328,328.0,23.18216507245297,0.0
329,329.0,22.94958681920524,0.0
330,330.0,23.218439942576484,0.0
331,331.0,23.527985194482433,0.0
332,332.0,22.96767281173603,0.0
333,333.0,22.797931305783436,0.0
334,334.0,23.24028509891218,0.0
335,335.0,23.00876198608726,0.0
336,336.0,23.38108466325836,0.0
337,337.0,22.7799256132965,0.0
338,338.0,23.24301369680893,0.0
339,339.0,23.29755749166141,0.0
340,340.0,23.45462656424187,0.0
341,341.0,23.147129233644403,0.0
342,342.0,22.611805459283524,0.0
343,343.0,23.207632123197516,0.0
344,344.0,23.27653676558363,0.0
345,345.0,22.848314265730657,0.0
346,346.0,22.66049355790961,0.0
347,347.0,22.981066821388204,0.0
348,348.0,22.97668248714043,0.0
349,349.0,22.55666598113603,0.0
350,350.0,22.658209464116023,0.0
351,351.0,23.27989462355285,0.0
352,352.0,23.306640926723365,0.0
353,353.0,22.750141813359697,0.0
354,354.0,22.516568843912204,0.0
355,355.0,22.456013243006353,0.0
356,356.0,23.087236303427524,0.0
357,357.0,23.096802531186057,0.0
358,358.0,23.15896172816723,0.0
359,359.0,22.31332421331171,0.0
360,360.0,22.522367897645392,0.0
361,361.0,22.274554288060827,0.0
362,362.0,22.808950350738233,0.0
363,363.0,23.116349177577703,0.0
364,364.0,22.47633623631228,0.0
365,365.0,22.35297231684443,0.0
366,366.0,22.64760926169268,0.0
367,367.0,22.89640064493642,0.0
368,368.0,22.18816675281705,0.0
369,369.0,22.32234714798106,0.0
370,370.0,22.25928574161055,0.0
371,371.0,22.272376907571235,0.0
372,372.0,22.454631203087214,0.0
373,373.0,22.545635702782043,0.0
374,374.0,22.710529253333153,0.0
375,375.0,22.511439401939423,0.0
376,376.0,22.415278487607114,0.0
377,377.0,22.636088304094077,0.0
378,378.0,22.037966617211158,0.0
379,379.0,22.667564142434355,0.0
380,380.0,22.889435850444826,0.0
381,381.0,22.34174181687062,0.0
382,382.0,22.95036395743509,0.0
383,383.0,22.90005165583108,0.0
384,384.0,22.50036438634325,0.0
385,385.0,22.514547693906547,0.0
386,386.0,21.97212287271832,0.0
387,387.0,22.09575329921337,0.0
388,388.0,22.490384802869464,0.0
389,389.0,22.76976812120174,0.0
390,390.0,22.665576346963668,0.0
391,391.0,22.473843858209307,0.0
392,392.0,22.602007476511844,0.0
393,393.0,22.227226283227804,0.0
394,394.0,22.18072077995955,0.0
395,395.0,22.656454760588865,0.0
396,396.0,22.206463928665976,0.0
397,397.0,22.527452101930383,0.0
398,398.0,22.586217161281006,0.0
399,399.0,22.017363708000374,0.0
400,400.0,22.641469075922476,0.0
401,401.0,21.809960421911473,0.0
402,402.0,22.599535693999574,0.0
403,403.0,22.049302518893114,0.0
