,Th1,Ts1,u1,R
328,24.97433052759254,24.97433052759254,40.286,1.098552404940154
329,24.967065968837797,24.967065968837797,40.24,1.0712446723320177
330,24.959805105246115,24.959805105246115,40.204,1.0762763974675913
331,24.952852008492766,24.952852008492766,40.184,0.9524846951871488
332,24.946317210592447,24.946317210592447,40.187,0.9578483339897907
333,24.94044770456059,24.94044770456059,40.236,1.027257698840753
334,24.935562049144064,24.935562049144064,40.29,1.1295353018447933
335,24.93192362935821,24.93192362935821,40.423,1.0705481530639176
336,24.92979507994018,24.92979507994018,40.58,1.1071992509483692
337,24.92940464043387,24.92940464043387,40.65,1.1093297899286902
338,24.929519094347043,24.929519094347043,40.759,1.0463022962398227
339,24.930181810442217,24.930181810442217,40.917,0.9520947797251651
340,24.93145315559361,24.93145315559361,41.076,1.017699267564499
341,24.933331969425613,24.933331969425613,41.205,1.0190478350492853
342,24.93594204958721,24.93594204958721,41.33,1.0851703210649006
343,24.939227928272135,24.939227928272135,41.505,0.9249975044772896
344,24.943389703802588,24.943389703802588,41.745,1.0215988482179945
345,24.948409091841917,24.948409091841917,41.98,1.0871352626512838
346,24.954541769010905,24.954541769010905,42.17,0.9585477557579765
347,24.961839319381777,24.961839319381777,42.347,0.9267323074549978
348,24.970383079907734,24.970383079907734,42.587,0.9585981058565132
349,24.980238415009858,24.980238415009858,42.891,1.054061825311841
350,24.99157387892352,24.99157387892352,43.198,1.1180348333866625
351,25.004065403966482,25.004065403966482,43.43,0.923487155957293
352,25.01823529732181,25.01823529732181,43.649,1.017294618000605
353,25.033523750978347,25.033523750978347,43.925,1.0144914188898895
354,25.05035838665414,25.05035838665414,44.255,0.8819568770861181
355,25.068561360258517,25.068561360258517,44.585,0.9746775133712298
356,25.088086228487857,25.088086228487857,44.831,1.0016224057408998
357,25.108870575506433,25.108870575506433,45.053,0.963768118425989
358,25.130836012946432,25.130836012946432,45.317,1.0860987018925776
359,25.153888179907916,25.153888179907916,45.598,1.1106056928419008
360,25.177916742958864,25.177916742958864,45.88,1.0702881142104204
361,25.203048007598408,25.203048007598408,46.077,1.0930570286586487
362,25.22864077797061,25.22864077797061,46.246,1.0831093799721003
363,25.254781445772018,25.254781445772018,46.413,1.0723794005471348
364,25.281295627716865,25.281295627716865,46.537,0.7708961331233155
365,25.3079929679873,25.3079929679873,46.66,1.016696106675397
366,25.33466713823336,25.33466713823336,46.715,1.0358233364133191
367,25.361095837572986,25.361095837572986,46.75,1.0223293237822269
368,25.38678455915021,25.38678455915021,46.711,0.8154161902359718
369,25.412247757344186,25.412247757344186,46.536,0.9937210083695085
370,25.436446513351132,25.436446513351132,46.363,0.9787471396541108
371,25.459129212230085,25.459129212230085,46.174,0.9635874381806104
372,25.4804545189714,25.4804545189714,45.978,0.9480238032318375
373,25.49986838676456,25.49986838676456,45.608,0.9323041442784721
374,25.531741438217534,25.531741438217534,44.37,0.9006631284786728
375,25.559101987400442,25.559101987400442,41.314,1.157974514378349
376,25.544594029777798,25.544594029777798,39.13,1.1268801593778264
377,25.503921084207505,25.503921084207505,36.913,1.1024547654342989
378,25.43059476746502,25.43059476746502,33.347,1.086454061882673
379,25.380971315812026,25.380971315812026,31.93,1.08270537394311
380,25.322779809274852,25.322779809274852,30.624,1.0821531857335955
381,25.176769402210894,25.176769402210894,26.575,1.0917001556567847
382,25.08921238124618,25.08921238124618,24.315,1.1023011633082476
383,24.99087436729966,24.99087436729966,22.549,1.117236023463704
384,24.883757004692733,24.883757004692733,20.942,1.1363897771406926
385,24.768280664873092,24.768280664873092,18.91,1.1597848479223636
386,24.642319249285848,24.642319249285848,16.495,1.1880236777744528
387,24.50727699575083,24.50727699575083,14.08,1.220999522930473
388,24.362036385758294,24.362036385758294,12.274,1.2271975387801248
389,24.209917514718274,24.209917514718274,10.662,1.0769201477085772
390,24.051678549643395,24.051678549643395,8.791,1.0590546285689229
391,23.88300910685651,23.88300910685651,6.808,1.1121129763135578
392,23.709487536155777,23.709487536155777,4.844,1.137578665290519
393,23.530405754178094,23.530405754178094,3.526,1.2000538633107318
394,23.348130567557178,23.348130567557178,2.383,1.2686133655911505
395,23.165577508687285,23.165577508687285,1.343,1.3423655959997554
396,22.97782005864851,22.97782005864851,0.733,1.423208954300346
397,22.79287263689552,22.79287263689552,0.136,1.3465456664150786
398,22.60568331318533,22.60568331318533,0.0,1.3074751304586378
399,22.416744763529685,22.416744763529685,0.0,1.3707744005975435
400,22.232114376829443,22.232114376829443,0.0,1.4682100967001759
401,22.04659345058641,22.04659345058641,0.0,1.5703558719540744
402,21.86241250530479,21.86241250530479,0.0,1.4499481355911428
403,21.67807271523532,21.67807271523532,0.0,1.4638108985778615
404,21.499294000091012,21.499294000091012,0.0,1.5743778106237443
405,21.320855904496014,21.320855904496014,0.0,1.6557192307094617
406,21.144756718536723,21.144756718536723,0.0,1.547515156558724
407,20.971133917486245,20.971133917486245,0.0,1.6015687599023458
408,20.800080073859487,20.800080073859487,0.0,1.4657036794254061
409,20.631642857413176,20.631642857413176,0.0,1.5237640207672847
